col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,target
b,0,9,2,0,1,3,6,a,b,5,188793,21,35,0
d,0,12,7,0,1,3,4,b,d,1,109996,33,40,0
a,0,10,6,0,,3,4,b,a,1,195681,27,48,0
a,0,11,8,0,1,3,4,b,a,1,436770,47,40,0
a,0,7,3,0,1,3,5,b,d,1,84253,18,24,0
b,0,9,2,0,1,7,7,a,b,1,383493,44,60,1
a,0,10,6,0,6,3,7,a,d,1,216867,23,37,0
a,0,6,13,0,1,3,6,b,d,1,401051,18,35,0
b,0,9,2,0,1,3,2,a,b,1,83196,56,50,0
a,0,13,1,0,1,3,1,a,d,1,325596,24,35,0
b,0,13,1,0,1,3,7,a,b,1,187322,43,40,1
a,0,13,1,0,1,3,6,b,d,1,193949,23,60,0
a,0,10,6,0,1,3,6,a,d,1,133373,26,42,0
g,0,9,2,0,1,3,6,a,e,1,113324,42,40,0
a,0,9,2,0,1,3,1,b,a,1,178818,23,40,0
b,0,6,13,0,1,2,7,a,b,1,152810,53,40,0
b,0,9,2,4386,1,3,2,a,b,1,335997,51,55,1
a,0,9,2,0,1,3,5,a,d,1,436493,40,25,0
a,0,13,1,0,1,3,4,a,a,1,704108,27,50,0
e,0,10,6,0,1,5,13,a,a,1,150084,24,60,0
c,0,9,2,0,1,3,7,b,f,1,341204,42,40,0
e,0,9,2,0,1,3,1,b,e,1,187336,41,40,0
a,0,10,6,0,1,3,3,a,d,1,204209,23,10,0
b,0,14,4,0,1,2,4,a,b,1,206066,42,65,0
b,0,9,2,0,1,3,7,a,b,1,63509,38,40,1
b,0,4,9,0,1,2,9,a,b,1,391121,63,30,0
b,0,9,2,0,1,3,7,a,b,1,56026,31,40,0
a,0,7,3,0,1,2,5,b,d,1,60981,18,4,0
a,0,10,6,0,1,3,5,a,d,1,228255,21,30,0
b,0,13,1,0,14,3,4,b,f,3,86745,24,40,0
b,0,10,6,0,1,3,7,a,b,1,234327,55,40,0
a,0,5,5,114,1,3,1,b,e,2,59948,20,20,0
c,0,10,6,0,1,3,6,b,d,1,137814,31,30,0
a,0,10,6,0,1,3,1,b,d,1,167692,23,20,0
b,0,9,2,0,6,3,7,a,b,1,245090,35,40,0
b,0,10,6,0,1,2,6,a,b,1,256963,51,60,0
a,0,10,6,0,1,3,13,b,d,1,160033,19,30,0
c,0,9,2,0,1,5,13,a,a,1,289430,38,56,0
b,2051,9,2,0,1,5,7,a,b,1,305053,52,40,0
b,0,15,11,0,1,2,4,a,b,1,172370,70,25,0
c,0,6,13,0,1,3,7,a,a,1,320510,53,40,0
b,0,16,10,0,1,3,2,a,b,1,171355,59,40,1
b,0,10,6,0,1,3,8,a,b,1,65027,39,43,0
a,0,8,16,0,1,3,6,b,d,1,215190,18,20,0
a,0,9,2,0,1,,,b,a,1,149385,41,30,0
a,0,10,6,0,1,,,a,d,1,169324,19,10,0
c,0,10,6,0,1,3,1,b,a,1,138938,24,40,0
a,0,9,2,0,1,3,1,b,a,1,557082,25,38,0
a,0,10,6,0,3,3,2,a,a,2,273287,32,40,0
b,1902,9,2,0,1,2,6,a,b,1,77209,34,60,1
a,0,9,2,0,1,3,6,b,a,1,317153,35,40,0
b,0,9,2,7298,1,3,1,a,b,1,95469,50,45,1
a,0,9,2,0,1,3,6,a,d,1,302859,18,20,0
a,0,9,2,0,1,3,1,a,a,1,333651,37,42,0
a,0,10,6,0,1,3,5,b,e,1,177596,30,36,0
b,0,14,4,15024,13,7,2,b,c,1,157240,40,30,1
a,0,9,2,0,1,3,4,b,a,1,184779,22,40,0
e,0,10,6,0,1,5,5,b,e,2,138358,50,28,0
c,0,9,2,0,1,3,5,b,a,1,176285,70,23,0
b,0,14,4,0,1,3,4,a,b,1,102180,43,40,1
a,0,10,6,0,1,2,7,a,a,1,209507,77,40,0
b,0,9,2,0,1,2,7,a,b,1,229741,30,40,0
b,0,10,6,0,1,3,10,a,b,1,324546,33,39,0
b,1902,10,6,0,1,3,6,a,b,1,337195,51,50,1
b,1977,14,4,0,1,1,4,a,b,1,194068,58,50,1
a,0,10,6,0,1,3,1,a,d,1,250647,22,12,0
b,0,9,2,0,1,3,8,a,b,2,477106,33,40,0
b,0,7,3,0,1,3,6,a,b,1,104329,27,40,0
a,0,10,6,0,1,3,2,a,a,1,224566,35,60,0
c,0,10,6,0,1,3,6,b,a,1,169841,32,55,0
b,0,13,1,0,1,3,11,b,c,1,42563,41,25,1
b,0,10,6,0,1,3,7,a,b,1,31368,37,40,0
a,0,7,3,0,1,3,6,a,d,1,132755,17,15,0
c,0,13,1,0,1,3,2,a,a,1,279129,50,55,1
b,0,9,2,0,14,,,a,b,3,86143,31,40,0
e,0,9,2,0,1,1,2,b,e,1,44172,54,38,0
a,0,9,2,0,1,1,5,a,d,2,93076,23,40,0
c,0,13,1,0,1,3,1,b,e,1,146653,40,20,0
b,0,13,1,5013,12,3,4,a,b,1,221366,29,40,0
d,0,9,2,0,,3,5,a,a,1,189404,38,35,0
b,0,11,8,0,1,3,2,a,b,1,172304,30,55,0
a,0,10,6,0,4,3,6,a,d,3,116666,20,8,0
b,0,10,6,0,1,2,9,a,b,1,64112,43,50,0
a,0,10,6,0,1,3,11,a,d,1,55718,25,25,0
b,0,14,4,0,1,3,6,a,b,1,126675,39,50,1
b,0,12,7,0,1,3,4,a,b,1,102112,48,50,1
c,0,9,2,0,1,2,5,b,e,1,226505,41,40,0
a,0,13,1,0,1,3,1,a,a,1,211527,24,30,0
a,0,10,6,0,31,3,1,a,d,1,175069,20,40,0
a,0,10,6,0,1,3,1,b,a,1,25249,25,40,0
b,0,10,6,0,1,3,7,a,b,1,73411,57,40,1
b,0,10,6,0,8,3,2,b,c,1,207185,39,35,1
b,0,13,1,0,1,3,4,a,b,1,127139,66,40,1
c,0,10,6,0,1,3,1,b,e,1,41809,34,40,0
c,0,13,1,14084,1,3,4,a,a,1,297449,36,40,1
b,0,9,2,0,1,3,6,b,c,1,141483,46,40,0
c,0,14,4,0,1,5,4,b,e,1,117227,42,45,0
b,1902,9,2,0,11,3,8,a,b,1,377401,46,70,1
a,0,9,2,0,1,5,13,a,d,1,167063,34,40,0
b,0,10,6,0,1,3,11,b,c,2,253759,43,40,0
c,0,10,6,0,1,3,2,b,d,1,183096,42,40,0
a,0,13,1,0,1,3,6,a,a,1,269654,31,48,0
b,0,10,6,0,1,,,a,b,1,293076,70,30,0
b,0,10,6,0,1,3,2,a,b,1,34104,32,40,0
b,0,9,2,0,12,4,1,a,b,1,80057,46,40,1
c,0,4,9,0,1,7,7,a,e,1,369781,42,25,0
a,0,11,8,0,1,3,2,a,d,1,223811,21,40,0
a,0,13,1,0,1,3,6,b,a,1,163053,24,40,0
a,0,9,2,0,1,3,6,a,f,1,189461,23,55,0
b,0,14,4,7298,1,5,4,a,b,1,145166,50,40,1
c,0,10,6,0,1,3,1,b,e,1,86310,37,45,0
a,0,7,3,0,1,,,b,e,1,263224,19,30,0
b,0,12,7,0,1,4,7,a,b,1,280362,44,40,1
b,0,9,2,0,1,3,8,a,b,2,301031,29,40,0
b,0,11,8,0,1,3,1,b,c,1,74966,30,24,0
b,0,10,6,0,1,3,6,a,b,1,254493,36,44,0
a,0,13,1,0,1,2,6,a,a,1,204241,49,45,0
c,0,9,2,0,1,3,7,a,a,1,225024,29,40,0
a,0,9,2,0,1,5,1,b,a,2,148222,45,40,0
b,0,16,10,0,1,1,4,a,b,2,113868,75,20,1
a,0,9,2,0,,3,15,b,a,1,132633,42,40,0
c,0,12,7,0,1,3,2,b,a,1,44780,37,40,0
b,0,13,1,0,1,3,10,a,b,1,86373,51,25,0
b,0,9,2,0,1,5,9,a,b,1,176753,61,48,0
a,0,12,7,2174,,3,2,b,e,1,164707,33,55,0
b,0,9,2,0,1,5,1,a,b,2,370733,50,40,0
a,0,9,2,0,1,3,10,a,a,1,216851,59,40,0
a,0,9,2,0,1,3,1,b,e,1,137951,25,30,0
a,0,9,2,0,1,3,3,a,d,1,185279,22,16,0
b,0,10,6,0,1,3,8,a,b,1,159724,56,40,1
a,0,13,1,0,1,3,1,b,e,2,103233,44,40,0
b,0,11,8,0,1,3,7,a,b,1,63509,35,50,0
a,0,9,2,0,1,3,2,a,a,1,174353,57,40,0
b,0,9,2,15024,1,2,9,a,b,1,168109,47,50,1
a,0,13,1,0,1,3,2,b,a,1,159724,27,40,0
b,2051,9,2,0,1,2,9,a,b,1,105010,50,20,0
a,0,13,1,0,,3,4,a,d,2,179112,30,40,0
b,0,7,3,0,1,3,8,a,b,2,364913,46,40,0
b,0,15,11,0,1,7,4,a,b,1,155664,48,60,1
c,0,13,1,0,1,3,1,a,a,1,230568,61,40,1
a,0,9,2,0,1,3,8,a,a,1,86492,33,87,0
b,0,9,2,0,1,3,5,a,b,2,71305,40,40,0
b,0,10,6,0,1,7,2,a,b,1,189933,58,65,1
b,2392,14,4,0,1,7,2,a,b,1,191978,46,50,1
b,0,10,6,0,1,3,4,a,b,1,38948,35,40,1
c,0,10,6,0,1,7,2,b,e,1,139127,51,50,0
a,0,8,16,0,1,3,5,b,d,1,301568,37,40,0
b,2057,14,4,0,29,3,4,a,b,3,149044,64,60,0
a,0,9,2,0,1,3,7,a,a,1,197344,41,54,0
a,0,7,3,594,1,3,3,a,d,1,32244,18,30,0
b,0,7,3,0,1,2,9,a,b,1,315406,44,88,0
b,0,13,1,0,1,1,4,b,c,4,47170,41,48,1
e,0,10,6,10520,1,1,4,a,a,1,208785,33,40,1
e,0,5,5,0,6,3,15,b,e,1,196338,37,16,0
a,0,10,6,0,1,3,1,b,d,1,269243,34,40,0
a,0,13,1,0,,4,11,b,d,1,215115,24,40,0
a,0,10,6,0,1,3,3,a,d,1,117767,20,40,0
b,0,13,1,0,1,3,2,a,b,1,176101,38,40,0
a,0,11,8,0,1,3,5,b,a,1,138283,28,40,0
a,0,9,2,0,1,2,8,a,d,1,132320,20,45,0
a,0,13,1,0,1,4,11,a,d,1,471452,22,8,0
c,0,13,1,0,1,3,1,b,e,1,147653,55,73,0
a,0,10,6,0,1,3,4,a,a,1,49179,20,35,0
a,0,13,1,0,1,3,4,b,a,1,174921,26,40,0
a,0,9,2,0,1,7,9,a,d,1,95997,20,70,0
c,0,5,5,0,1,3,5,b,a,1,247245,40,40,0
b,0,9,2,0,1,3,6,a,b,1,67072,33,50,1
c,0,10,6,0,1,,,a,d,1,95329,54,50,0
a,0,9,2,0,1,3,6,b,a,1,107882,24,40,0
a,0,10,6,0,1,3,2,a,d,1,241825,25,46,0
a,0,7,3,0,1,3,5,a,d,1,79443,18,8,0
b,0,9,2,0,1,2,7,a,b,1,233059,49,60,0
a,0,8,16,0,1,3,3,a,d,1,226980,17,17,0
b,0,11,8,0,1,2,7,a,b,1,181087,34,45,0
b,0,13,1,0,1,3,4,a,b,1,305597,37,45,1
b,0,10,6,0,1,4,2,a,b,1,311671,49,40,1
g,0,9,2,15831,1,3,1,b,a,1,129879,74,40,1
c,0,9,2,0,1,3,9,a,a,1,83375,37,40,0
b,1573,7,3,0,1,3,3,a,b,1,115824,20,40,0
b,0,9,2,0,1,3,2,b,c,1,141657,40,35,1
a,0,13,1,27828,1,3,6,a,a,1,50276,34,40,1
b,1740,15,11,0,23,3,4,a,b,2,177216,30,40,0
e,0,9,2,0,8,3,1,b,a,1,228057,44,40,0
b,0,6,13,0,1,3,5,b,c,2,222848,40,32,0
b,0,9,2,0,36,3,6,b,c,1,121111,58,40,0
b,0,9,2,0,1,3,7,a,b,1,298885,44,40,0
b,0,10,6,0,1,3,6,a,b,1,149909,42,25,1
a,0,9,2,0,1,3,5,a,a,1,387430,39,18,0
a,0,9,2,0,1,3,5,a,d,2,121972,19,40,0
b,0,14,4,15024,1,3,2,a,b,1,280167,41,70,1
a,0,14,4,0,1,1,4,a,a,1,191355,29,40,0
a,0,10,6,0,1,4,7,a,f,1,112115,34,40,0
b,0,10,6,0,1,,,a,b,1,104094,38,15,0
b,0,1,15,41310,6,3,9,a,f,1,211032,27,24,0
c,0,10,6,0,1,3,7,b,e,1,199307,54,48,0
g,0,9,2,0,1,3,10,b,e,2,205175,40,37,0
a,0,10,6,0,1,3,6,b,f,1,257750,19,25,0
a,0,7,3,594,1,3,5,a,d,1,191260,17,10,0
b,0,10,6,0,1,3,6,a,b,1,342730,33,52,0
g,0,4,9,0,1,3,5,b,a,1,249983,80,24,0
a,0,9,2,0,1,2,7,a,d,1,161508,24,50,0
a,0,13,1,0,1,3,4,a,d,1,338376,28,40,0
b,0,9,2,0,1,3,2,b,c,1,334308,55,30,1
a,0,10,6,0,1,3,2,a,d,1,133471,21,40,0
c,0,9,2,0,1,3,1,b,a,1,129177,51,38,0
a,0,9,2,0,1,3,10,b,d,2,178811,19,40,0
a,0,9,2,0,1,3,5,b,a,1,178537,42,24,0
b,0,9,2,0,1,2,2,a,b,1,235535,60,48,0
a,0,10,6,0,1,,,b,d,2,298155,20,40,0
c,0,9,2,0,1,3,1,b,a,1,145114,51,40,0
a,0,10,6,0,1,3,5,b,d,1,194096,21,40,0
b,0,10,6,0,1,1,7,a,b,1,191779,37,40,0
a,0,9,2,0,1,3,10,a,a,1,159732,26,52,0
a,0,14,4,14084,1,4,2,b,a,1,170230,42,60,1
b,0,10,6,0,1,3,3,a,b,1,104719,40,40,0
b,0,14,4,0,1,3,4,a,b,1,163083,55,40,1
a,0,9,2,0,1,3,5,a,a,2,403552,33,32,0
b,1977,9,2,0,1,3,8,a,b,1,218009,62,60,1
c,0,6,13,0,1,3,6,b,e,1,179313,47,30,0
a,0,8,16,0,1,3,6,a,f,2,51961,26,51,0
d,0,9,2,0,8,3,1,b,e,1,426001,59,20,0
g,0,10,6,0,1,5,1,b,a,1,176493,70,17,0
a,0,10,6,0,1,3,1,b,a,1,124068,26,20,0
b,0,6,13,0,1,3,6,a,b,1,108510,47,65,0
a,0,14,4,0,1,3,2,b,a,1,181528,25,43,0
b,0,15,11,15024,1,7,4,a,b,1,173754,52,60,1
b,0,9,2,0,1,3,7,a,b,1,169699,46,40,0
b,0,6,13,0,1,3,8,a,b,4,126849,67,20,0
b,0,14,4,0,1,3,2,a,b,1,204470,34,50,1
c,0,10,6,4650,1,1,1,b,f,1,116367,53,40,0
a,0,13,1,0,1,3,1,b,a,1,117363,22,35,0
c,0,9,2,0,1,5,1,a,d,1,106297,39,42,0
b,0,9,2,0,1,2,7,a,b,1,108933,54,35,0
b,0,13,1,0,1,3,6,a,b,1,190143,24,40,0
e,0,9,2,0,1,3,4,b,e,1,246677,37,38,0
a,2559,6,13,0,1,3,4,a,a,1,175360,38,90,1
a,0,14,4,0,1,5,4,b,a,2,210259,41,40,0
b,0,9,2,0,1,3,8,a,b,1,166304,36,33,0
b,0,11,8,15024,1,3,2,a,b,1,303051,43,40,1
c,0,13,1,0,1,3,4,a,a,1,49308,39,40,0
a,0,13,1,0,1,3,6,a,d,1,192262,26,45,0
a,0,14,4,4650,1,5,4,b,a,1,192349,49,40,0
b,0,13,1,0,1,2,4,a,b,1,48063,37,55,1
b,0,10,6,0,1,3,2,a,b,1,170214,43,50,1
b,0,9,2,0,1,4,4,a,b,1,51048,54,40,1
b,0,3,12,0,6,7,6,a,b,1,246562,53,40,1
b,0,14,4,0,1,5,4,a,b,1,215175,57,60,0
b,0,13,1,0,1,3,4,a,b,1,114967,28,40,1
b,0,13,1,0,1,3,5,a,b,1,464536,29,40,0
a,0,9,2,0,1,3,6,a,d,1,451996,21,40,0
b,0,9,2,0,1,3,7,a,b,1,138852,51,40,0
b,0,9,2,0,1,1,8,a,b,1,353012,46,40,0
b,0,15,11,0,1,7,4,a,b,1,321822,50,75,1
g,0,9,2,0,7,2,2,b,e,3,324506,50,48,0
c,0,9,2,0,1,3,2,b,e,1,162256,36,40,0
b,0,13,1,0,1,5,4,a,b,1,356689,31,40,0
a,0,9,2,0,1,3,1,b,d,1,260199,20,10,0
b,0,9,2,0,1,3,3,a,b,1,103605,36,40,0
c,0,9,2,0,1,3,7,a,d,1,316211,38,40,0
b,0,13,1,0,1,3,7,a,b,1,308691,37,45,1
b,0,14,4,7688,1,3,4,a,b,1,194404,39,40,1
a,0,6,13,0,1,3,9,a,d,1,334427,18,36,0
c,0,9,2,0,1,3,6,a,a,1,213226,33,50,0
a,0,9,2,1151,1,3,11,b,a,1,342824,35,40,0
a,0,10,6,0,1,3,3,a,d,4,33105,23,40,0
e,0,13,1,0,14,3,5,b,e,3,147638,37,36,0
b,0,9,2,0,1,3,5,a,b,1,315643,25,30,0
b,0,12,7,0,1,4,11,a,b,2,106257,51,40,0
b,0,9,2,0,1,3,7,a,b,1,342768,35,40,0
b,0,7,3,0,1,3,10,a,b,1,108960,54,40,0
b,0,9,2,0,1,,,a,b,1,168071,66,30,0
a,0,9,2,0,1,3,5,b,e,2,136935,32,13,0
a,0,13,1,0,1,2,13,a,a,1,188774,37,55,1
b,0,13,1,0,1,3,6,a,b,1,280344,29,40,1
b,0,13,1,0,1,3,3,a,b,1,202496,45,37,0
b,0,10,6,0,1,7,6,a,b,1,134768,61,40,0
c,0,10,6,0,1,3,1,b,e,1,175686,40,40,0
a,0,9,2,0,1,3,8,b,a,1,194748,24,49,0
b,0,4,9,0,1,3,10,a,b,5,61307,49,38,0
c,0,14,4,25236,1,2,2,a,e,1,165001,51,50,1
b,0,9,2,0,1,3,8,a,b,1,325658,34,40,0
e,0,9,2,0,6,,,b,e,1,201844,28,40,0
a,0,10,6,0,1,3,6,a,d,1,505980,20,40,0
c,0,10,6,0,1,3,1,b,e,2,185336,30,37,0
c,0,14,4,99999,6,7,4,a,e,1,362795,49,80,1
a,0,10,6,0,1,3,6,a,a,1,126829,26,40,0
b,0,6,13,0,1,3,1,a,b,1,264600,63,45,0
a,0,12,7,0,13,3,8,a,a,1,82743,36,55,0
b,0,13,1,0,1,2,4,a,b,1,125178,63,40,1
a,0,9,2,0,1,3,1,b,a,1,128487,22,10,0
b,0,9,2,0,1,3,6,a,b,1,321758,40,40,1
g,0,4,9,0,1,3,1,b,a,1,128220,31,35,0
b,0,10,6,0,11,3,7,a,b,1,176814,49,50,0
a,0,14,4,13550,,3,4,a,a,1,188069,35,55,1
a,0,13,1,0,1,1,4,b,d,1,156423,23,20,0
a,0,11,8,27828,1,3,6,a,a,1,169905,25,40,1
b,0,9,2,0,1,,,a,b,1,157289,34,40,0
b,0,13,1,0,1,3,7,a,b,1,176972,28,45,1
c,2205,10,6,0,1,2,10,a,a,1,171424,44,35,0
e,0,9,2,0,1,3,8,a,a,1,91811,33,40,0
a,0,10,6,2597,1,3,1,a,a,1,203924,21,45,0
b,1672,7,3,0,1,3,5,a,b,2,177484,55,40,0
a,0,7,3,0,1,,,b,d,1,454614,17,8,0
c,0,9,2,2346,1,2,6,a,a,1,242108,75,15,0
a,0,5,5,0,1,3,10,b,e,2,132972,61,40,0
c,0,9,2,0,1,3,1,b,a,1,157947,53,40,0
b,0,12,7,0,1,5,13,a,b,1,177482,26,45,1
g,0,10,6,0,1,3,6,a,e,1,246891,48,50,1
b,0,14,4,0,1,1,2,a,b,1,158834,28,50,1
a,0,13,1,0,22,,,b,a,3,203834,30,50,0
b,0,9,2,0,1,3,3,a,b,1,110442,29,45,0
c,0,10,6,0,1,3,11,b,d,1,240676,25,40,0
b,0,9,2,0,1,3,8,a,b,1,192939,37,40,0
c,0,13,1,0,1,5,4,b,e,1,260696,43,55,0
b,0,9,2,0,1,5,8,a,b,1,55363,40,40,0
b,0,6,13,0,1,3,7,a,b,1,144949,34,45,1
b,0,16,10,15024,1,3,4,a,b,1,116878,55,30,1
a,0,12,7,0,1,5,11,a,a,1,357954,31,20,0
a,0,10,6,0,1,,,b,d,1,170038,21,40,0
b,0,9,2,0,15,2,9,a,b,1,190290,32,40,0
a,0,15,11,2463,4,1,4,a,a,3,203279,26,50,0
b,0,13,1,0,1,3,4,a,b,1,167761,26,50,1
b,0,10,6,0,1,3,8,a,b,1,138845,44,40,0
b,0,9,2,0,1,3,8,a,b,1,144844,49,52,1
a,1504,9,2,0,1,,,b,d,2,161930,21,30,0
a,0,9,2,0,1,3,1,b,e,2,55743,26,30,0
b,0,9,2,0,1,2,9,a,b,1,117721,40,60,0
a,0,7,3,0,1,2,1,b,a,1,116385,19,40,0
b,0,9,2,0,1,3,9,a,b,1,301867,58,40,0
b,0,11,8,0,1,3,11,a,b,1,238913,61,40,1
b,0,10,6,0,7,2,6,a,d,3,123983,28,63,0
a,0,13,1,0,1,3,9,a,d,1,165510,26,40,0
a,0,9,2,0,1,3,1,b,a,1,183513,64,25,0
b,0,13,1,0,1,7,2,a,b,1,119281,42,60,1
b,0,10,6,0,1,3,11,a,b,1,152629,41,40,1
a,0,9,2,0,1,3,3,a,a,1,110171,45,40,0
b,0,13,1,0,1,3,6,a,b,1,211440,39,50,1
b,0,9,2,0,1,5,5,a,b,1,359259,41,40,0
e,0,7,3,0,3,3,5,b,a,2,125796,51,40,0
c,0,11,8,0,1,3,1,b,e,1,39609,34,40,0
b,1902,14,4,0,12,3,2,a,b,1,111567,33,45,1
e,2559,10,6,0,1,3,5,a,a,1,44064,23,40,1
b,0,10,6,0,1,2,7,a,b,4,120066,35,60,0
c,0,7,3,0,28,3,15,b,e,1,132633,41,25,0
a,0,14,4,0,1,3,7,b,a,1,192702,39,50,0
b,0,10,6,0,1,3,6,a,b,1,166813,41,55,0
b,0,10,6,0,1,7,2,a,b,1,40444,33,40,0
a,0,9,2,0,1,3,5,a,f,1,290504,22,40,0
a,1504,10,6,0,1,3,2,b,f,1,178505,25,45,0
c,0,10,6,0,1,3,10,b,d,1,175370,25,40,0
d,0,4,9,0,15,2,1,a,a,1,72931,77,20,1
a,0,11,8,0,1,,,b,d,1,234542,33,40,0
g,0,9,2,0,1,3,6,b,a,1,284021,66,40,0
a,0,10,6,0,1,3,6,a,d,1,277974,19,35,0
a,0,9,2,0,1,3,5,b,e,2,111275,44,38,0
c,0,14,4,25236,1,7,6,b,e,1,191776,45,42,1
a,0,10,6,0,1,3,6,a,a,1,125527,28,50,0
a,0,9,2,2597,1,3,3,a,f,1,38294,19,40,0
b,0,9,2,4386,1,3,10,a,b,2,313022,43,40,1
b,0,13,1,15024,1,3,11,a,b,1,179668,39,40,1
b,0,13,1,0,1,3,6,a,b,1,198660,33,50,0
d,0,9,2,0,3,3,5,b,a,2,216116,44,40,0
g,0,4,9,0,1,3,10,b,a,1,200922,62,40,0
b,0,10,6,0,1,3,6,a,b,1,153372,40,50,1
a,0,9,2,0,13,3,5,a,a,1,406603,41,6,0
a,0,10,6,0,1,5,5,a,a,2,248344,23,30,0
b,0,9,2,0,15,3,7,a,b,1,240629,48,40,1
b,0,14,4,0,1,3,4,a,b,1,314310,38,45,0
b,0,14,4,0,1,3,2,a,b,1,259785,37,50,1
b,0,14,4,0,1,3,4,a,b,1,127111,45,55,1
b,0,9,2,0,1,3,13,a,b,1,178272,29,40,0
g,0,9,2,0,1,5,1,b,e,1,75134,66,25,0
a,0,9,2,0,1,3,5,b,a,1,195985,19,50,0
a,0,5,5,0,6,3,3,a,f,1,221955,23,39,0
b,0,13,1,0,1,3,11,a,b,1,177675,34,40,1
a,0,14,4,0,1,3,2,b,a,1,182828,39,45,0
a,0,9,2,0,1,2,8,a,a,1,270889,33,60,0
e,0,10,6,0,1,3,6,b,e,1,183096,43,10,0
b,0,9,2,0,1,3,8,a,b,1,336951,27,99,0
e,0,10,6,0,1,1,1,a,d,2,295589,33,35,0
b,0,3,12,0,6,3,9,a,b,1,289980,26,30,0
c,0,14,4,27828,1,7,2,a,a,1,70720,56,60,1
b,0,9,2,0,1,3,6,a,b,1,163352,46,36,0
c,0,12,7,0,1,3,7,b,e,1,190776,38,40,0
b,0,7,3,0,1,3,7,a,b,1,313986,90,40,0
b,0,10,6,0,1,7,2,a,b,1,473748,72,25,1
a,0,9,2,0,1,3,1,b,e,3,163003,20,15,0
b,0,9,2,0,1,3,7,a,b,4,183061,29,48,0
b,0,7,3,0,1,3,8,a,b,1,123584,49,75,0
a,0,9,2,0,1,3,5,b,e,1,120910,23,35,0
d,0,10,6,0,1,3,6,b,d,2,227554,20,18,0
b,0,13,1,4508,7,3,2,a,b,3,182677,57,40,0
c,0,12,7,0,1,3,4,b,e,1,214955,46,40,0
b,0,13,1,0,1,3,4,a,b,1,209768,33,40,1
a,0,13,1,0,3,3,6,a,a,1,258120,24,55,0
b,0,11,8,0,36,3,7,a,b,1,110015,49,45,0
b,0,9,2,0,1,3,8,a,b,1,152652,54,65,0
a,1564,16,10,0,1,4,4,b,a,1,43206,46,50,1
b,0,11,8,0,1,2,7,a,b,1,114639,31,50,0
b,1977,15,11,0,1,7,4,a,b,1,221172,43,40,1
a,0,10,6,0,1,,,b,d,1,128538,18,6,0
a,0,9,2,0,1,3,10,a,d,1,131615,19,40,0
a,0,12,7,0,1,3,1,a,a,1,353824,46,40,0
c,0,13,1,0,1,3,4,a,a,1,178417,43,40,0
g,0,9,2,0,1,3,7,a,e,1,178644,58,40,0
b,0,9,2,0,1,2,6,a,b,1,271665,43,45,0
e,0,10,6,0,1,,,a,e,1,223732,37,40,0
a,0,8,16,0,1,4,1,a,d,2,169003,21,25,0
a,0,14,4,0,1,1,1,a,a,1,338816,52,70,1
b,0,11,8,0,1,3,7,a,b,1,506858,34,32,1
a,0,11,8,0,1,3,3,b,d,1,265628,28,40,0
c,0,9,2,0,1,3,8,a,a,1,173495,34,40,0
b,0,9,2,0,1,3,10,a,b,1,177413,29,40,1
b,0,9,2,0,1,3,9,a,b,1,31670,39,65,0
c,0,7,3,0,1,3,10,b,e,2,154451,49,35,0
b,0,10,6,0,3,3,7,a,b,2,265535,35,50,1
c,0,10,6,0,1,3,5,b,d,1,118941,31,20,0
a,0,10,6,0,1,3,3,a,d,1,214617,18,30,0
b,0,9,2,4386,1,5,5,a,b,1,265097,47,40,1
b,0,9,2,5013,1,3,6,a,b,1,276087,46,50,0
b,0,13,1,0,1,3,6,a,b,1,124692,43,40,1
b,0,9,2,4386,1,4,7,a,b,1,306784,51,40,1
a,0,10,6,0,1,3,1,b,a,1,434102,21,40,0
a,0,10,6,0,1,,,a,d,1,387641,18,40,0
b,1902,13,1,0,1,1,4,b,c,1,181824,31,35,1
b,1887,9,2,0,1,5,13,a,b,1,177907,39,40,1
b,0,7,3,0,1,3,1,a,b,1,87329,58,48,0
a,0,14,4,0,1,3,4,b,a,1,263130,36,40,0
b,0,9,2,0,1,3,10,b,c,1,262882,38,40,0
b,1902,13,1,0,1,3,2,b,c,1,37546,31,35,1
a,0,7,3,0,1,3,3,a,a,1,27433,19,40,0
c,0,11,8,0,1,3,11,b,a,1,393945,38,36,0
a,0,11,8,0,3,3,4,b,d,5,173927,26,60,0
c,0,12,7,0,1,3,1,b,a,1,343403,38,16,0
b,0,10,6,0,1,3,7,a,b,1,111128,36,45,0
b,0,9,2,0,1,3,2,a,b,1,193882,40,45,1
a,0,13,1,0,,3,11,a,a,2,310864,25,40,0
b,0,13,1,0,1,3,11,b,c,1,128354,41,25,1
a,0,9,2,0,1,3,6,a,a,1,113364,33,45,0
b,0,9,2,0,1,,,a,b,1,198559,63,16,0
b,0,9,2,0,1,3,10,a,b,1,136913,51,40,0
b,0,9,2,0,1,3,6,a,b,1,115488,34,40,0
c,0,11,8,0,1,3,6,a,a,1,154227,33,40,0
b,0,6,13,0,1,3,7,a,b,1,279667,25,45,0
a,0,9,2,0,1,2,6,a,e,1,281030,30,66,0
a,0,10,6,0,1,3,1,a,d,1,283945,19,25,0
b,0,9,2,0,1,3,2,b,c,1,454989,47,40,1
a,0,13,1,0,1,3,1,b,a,1,391349,26,40,0
a,0,10,6,0,1,1,5,b,d,1,166704,21,14,0
